You entered a buffer length of 4,,,,,,,,,,,,,,,,,,,,
x,y,z,,,,,,,,,,,x_m1_100,x_m1_20,,y_m2_100,y_m2_20,,z_m3_100,z_m3_20
0.115425,0.115425,0.080754,0.101233,1.007569,1.007569,0.960203,0.986022,0.149728,0.152658,0.120674,0.142831,,0.115425,0.699445,,0.872673,1.005249,,-0.133248,0.068425
0.117378,0.117378,0.097479,0.110389,0.989135,1.007569,0.981078,0.993255,0.116523,0.152658,0.116523,0.141793,,0.117378,0.735335,,0.907343,0.995971,,-0.19038,0.087103
0.115302,0.117378,0.111274,0.114845,0.993896,1.007569,0.989135,0.99646,0.09516,0.149728,0.09516,0.127418,,0.115302,0.85839,,0.963987,0.958494,,-0.177806,0.142038
0.113837,0.117378,0.113837,0.115485,1.00647,1.007569,0.989135,0.999267,0.079534,0.149728,0.079534,0.110236,,0.113837,0.779405,,1.075078,0.92187,,-0.126411,0.105414
0.118965,0.118965,0.113837,0.11637,1.006714,1.006714,0.989135,0.999054,0.07343,0.116523,0.07343,0.091162,,0.118965,0.853995,,1.132332,0.882439,,-0.106269,0.110786
0.114082,0.118965,0.113837,0.115546,1.005005,1.006714,0.993896,1.003021,0.075383,0.09516,0.07343,0.080877,,0.114082,0.840811,,1.130135,0.912714,,-0.043887,0.112006
0.093451,0.118965,0.093451,0.110084,0.989013,1.006714,0.989013,1.0018,0.099676,0.099676,0.07343,0.082006,,0.093451,0.902704,,1.092413,0.886712,,-0.070378,0.114082
0.07343,0.118965,0.07343,0.099982,0.964597,1.006714,0.964597,0.991332,0.119087,0.119087,0.07343,0.091894,,0.07343,0.914912,,1.026125,0.861564,,-0.185375,0.178539
0.06696,0.114082,0.06696,0.086981,0.951901,1.005005,0.951901,0.977629,0.113715,0.119087,0.075383,0.101965,,0.06696,0.973021,,0.930904,0.90307,,-0.221998,0.203076
0.086004,0.093451,0.06696,0.079961,0.955808,0.989013,0.951901,0.96533,0.109687,0.119087,0.099676,0.110541,,0.086004,0.935909,,0.907587,0.936886,,-0.108832,0.068303
0.122749,0.122749,0.06696,0.087286,0.95947,0.964597,0.951901,0.957944,0.087225,0.119087,0.087225,0.107429,,0.122749,0.92712,,0.925655,0.83666,,0.03229,0.067448
0.165965,0.165965,0.06696,0.11042,0.98181,0.98181,0.951901,0.962247,0.063297,0.113715,0.063297,0.093481,,0.165965,0.958005,,0.985595,0.816761,,0.018861,0.06757
0.204297,0.204297,0.086004,0.144754,0.957517,0.98181,0.955808,0.963651,0.066593,0.109687,0.063297,0.081701,,0.204297,0.993652,,1.048343,0.771592,,-0.031191,0.066105
0.216261,0.216261,0.122749,0.177318,0.967405,0.98181,0.957517,0.96655,0.114692,0.114692,0.063297,0.082952,,0.216261,0.986571,,1.068608,0.667948,,-0.063419,0.101019
0.229323,0.229323,0.165965,0.203962,0.996948,0.996948,0.957517,0.97592,0.130196,0.130196,0.063297,0.093695,,0.229323,0.989745,,1.03174,0.756455,,-0.043032,0.139962
0.241287,0.241287,0.204297,0.222792,1.054447,1.054447,0.957517,0.994079,0.185253,0.185253,0.066593,0.124184,,0.241287,1.05286,,1.01233,0.974242,,0.059635,0.156321
0.315876,0.315876,0.216261,0.250687,1.058353,1.058353,0.967405,1.019288,0.196362,0.196362,0.114692,0.156626,,0.315876,1.00647,,0.995849,0.938107,,0.106513,0.111152
